CASEID,cexabu,cexphys,cexsex,cex_070a,cex_070b,cex_070c,cex_080,mshsd,msper,msvic,agegr10,luc_rst,prv,region,sex
    1,3,2,1,2,2,1,1,994,994,994,2,1,"59",5,1
    2,1,1,1,6,6,6,1,994,994,994,2,3,"11",1,2
    3,3,2,1,2,2,1,1,994,994,994,2,1,"35",3,1
    4,1,1,1,6,6,6,1,994,994,994,5,2,"24",2,2
    5,1,1,1,6,6,6,1,994,994,994,5,2,"48",4,2
    6,3,2,1,2,2,1,1,405,994,405,6,1,"12",1,2
    7,1,1,1,6,6,6,1,994,994,994,2,1,"47",4,1
    8,1,1,1,6,6,6,1,994,994,994,5,2,"10",1,2
    9,1,1,1,6,6,6,1,994,994,994,5,2,"12",1,2
   10,1,1,1,6,6,6,1,994,994,994,2,1,"35",3,1
   11,1,1,1,6,6,6,1,994,994,994,5,1,"35",3,1
   12,3,2,1,2,2,1,2,994,994,994,5,1,"35",3,1
   13,3,2,1,2,2,1,3,994,994,994,3,1,"47",4,1
   14,1,1,1,6,6,6,1,994,994,994,4,1,"12",1,2
   15,3,2,1,2,2,1,2,994,304,304,3,1,"35",3,1
   16,1,1,1,6,6,6,1,994,994,994,2,1,"12",1,1
   17,1,1,1,6,6,6,1,994,994,994,1,1,"35",3,1
   18,3,2,1,2,2,1,1,994,994,994,3,1,"12",1,2
   19,1,1,1,6,6,6,1,994,994,994,3,1,"24",2,1
   20,1,1,1,6,6,6,1,994,994,994,6,1,"35",3,2
   21,1,1,1,6,6,6,1,994,994,994,6,1,"59",5,2
   22,1,1,1,6,6,6,1,994,994,994,7,1,"59",5,2
   23,1,1,1,6,6,6,1,994,994,994,6,2,"10",1,2
   24,3,1,2,2,2,1,1,994,994,994,2,1,"59",5,2
   25,3,1,2,2,2,1,1,994,994,994,6,2,"24",2,2
   26,1,1,1,6,6,6,1,994,994,994,7,1,"24",2,1
   27,1,1,1,6,6,6,1,994,994,994,3,2,"47",4,2
   28,1,1,1,6,6,6,1,994,994,994,2,1,"35",3,1
   29,1,1,1,6,6,6,1,994,994,994,4,3,"11",1,2
   30,1,1,1,6,6,6,1,994,994,994,1,1,"48",4,1
   31,3,2,1,2,2,1,1,994,994,994,4,2,"12",1,1
   32,1,1,1,6,6,6,1,994,994,994,4,2,"12",1,2
   33,1,1,1,6,6,6,1,994,994,994,6,1,"35",3,2
   34,1,1,1,6,6,6,1,994,994,994,3,3,"11",1,2
   35,1,1,1,6,6,6,1,994,994,994,1,2,"48",4,1
   36,1,1,1,6,6,6,1,994,994,994,5,1,"24",2,1
   37,3,2,1,2,2,1,1,994,994,994,5,2,"59",5,1
   38,7,7,1,6,6,6,7,994,994,994,6,1,"35",3,1
   39,8,8,1,6,6,6,1,994,994,994,4,1,"59",5,1
   40,3,2,1,2,2,1,7,994,304,304,7,1,"12",1,2
   41,3,2,1,2,2,1,1,994,994,994,5,1,"24",2,1
   42,1,1,1,6,6,6,1,994,994,994,1,1,"24",2,2
   43,1,1,1,6,6,6,1,994,994,994,1,3,"11",1,1
   44,8,8,1,6,6,6,1,994,994,994,6,1,"46",4,2
   45,1,1,1,6,6,6,1,994,994,994,4,1,"35",3,1
   46,1,1,1,6,6,6,1,994,994,994,1,1,"13",1,2
   47,1,1,1,6,6,6,1,994,994,994,1,1,"46",4,1
   48,1,1,1,6,6,6,1,994,994,994,7,2,"24",2,1
   49,1,1,1,6,6,6,1,995,995,995,3,1,"48",4,2
   50,1,1,1,6,6,6,1,994,994,994,5,1,"24",2,1
   51,1,1,1,6,6,6,2,994,994,994,6,1,"35",3,1
   52,3,2,1,2,2,1,1,994,994,994,6,2,"12",1,2
   53,3,2,1,2,2,1,1,994,994,994,6,1,"24",2,2
   54,1,1,1,6,6,6,1,994,994,994,4,1,"35",3,2
   55,1,1,1,6,6,6,1,994,994,994,2,1,"12",1,1
   56,3,2,1,2,2,1,2,994,994,994,6,1,"35",3,2
   57,3,2,1,2,2,1,1,994,994,994,4,1,"10",1,1
   58,1,1,1,6,6,6,1,994,994,994,7,1,"46",4,2
   59,3,2,1,2,2,1,1,994,994,994,3,1,"35",3,1
   60,1,1,1,6,6,6,1,994,994,994,7,1,"48",4,2
   61,1,1,1,6,6,6,1,994,994,994,5,2,"13",1,2
   62,1,1,1,6,6,6,1,994,994,994,2,1,"59",5,2
   63,1,1,1,6,6,6,1,994,994,994,1,1,"24",2,2
   64,1,1,1,6,6,6,1,994,609,609,4,1,"35",3,1
   65,1,1,1,6,6,6,1,994,994,994,2,1,"35",3,2
   66,3,2,1,2,2,1,1,994,994,994,6,1,"12",1,1
   67,1,1,1,6,6,6,1,994,994,994,3,1,"35",3,1
   68,3,2,1,2,2,1,1,994,994,994,1,1,"24",2,1
   69,3,2,1,2,2,1,1,994,994,994,3,1,"46",4,2
   70,1,1,1,6,6,6,1,994,994,994,2,2,"48",4,1
   71,8,1,8,6,6,6,1,406,994,406,5,1,"35",3,2
   72,1,1,1,6,6,6,1,994,994,994,5,1,"35",3,2
   73,1,1,1,6,6,6,1,994,994,994,6,2,"24",2,2
   74,3,2,1,2,2,1,1,994,609,609,6,1,"35",3,2
   75,1,1,1,6,6,6,1,994,994,994,3,2,"46",4,2
   76,1,1,1,6,6,6,1,994,994,994,2,1,"47",4,2
   77,3,2,1,2,2,1,1,994,994,994,5,1,"59",5,1
   78,3,1,2,2,2,1,1,994,994,994,6,1,"24",2,1
   79,1,1,1,6,6,6,2,994,994,994,5,1,"12",1,2
   80,3,2,1,2,2,1,1,994,994,994,3,1,"47",4,2
   81,1,1,1,6,6,6,1,994,994,994,1,1,"59",5,1
   82,1,1,1,6,6,6,1,994,994,994,1,1,"24",2,1
   83,1,1,1,6,6,6,1,994,994,994,6,2,"12",1,1
   84,3,1,2,2,2,1,1,994,994,994,6,1,"12",1,2
   85,1,1,1,6,6,6,1,994,994,994,7,2,"47",4,2
   86,1,1,1,6,6,6,1,994,994,994,4,1,"46",4,1
   87,3,7,2,2,2,1,1,994,994,994,5,3,"11",1,2
   88,3,1,2,2,2,1,1,994,994,994,5,1,"35",3,2
   89,3,2,1,2,2,1,2,994,994,994,3,1,"59",5,2
   90,1,1,1,6,6,6,1,994,994,994,1,1,"24",2,2
   91,3,2,1,2,2,1,1,711,994,711,3,1,"12",1,1
   92,1,1,1,6,6,6,1,994,994,994,2,1,"59",5,1
   93,1,1,1,6,6,6,1,994,994,994,6,1,"12",1,2
   94,3,2,1,2,2,1,1,994,994,994,3,1,"24",2,2
